country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Finland,2020,5540720,0.22 %,11920,14000,43.1,1.53,18,86.1 %,4771979,0.07 %,7794798739,116
Finland,2025,5569572,0.10 %,5770,14000,44.1,1.53,18,87.5 %,4874169,0.07 %,8184437460,119
Finland,2030,5580537,0.04 %,2193,14000,45.1,1.53,18,89.1 %,4969919,0.07 %,8548487400,123
Finland,2035,5574392,-0.02 %,-1229,14000,45.9,1.53,18,90.7 %,5053756,0.06 %,8887524213,123
Finland,2040,5551766,-0.08 %,-4525,14000,46.6,1.53,18,92.4 %,5129119,0.06 %,9198847240,124
Finland,2045,5520554,-0.11 %,-6242,14000,47.0,1.53,18,94.3 %,5204402,0.06 %,9481803274,126
Finland,2050,5486143,-0.12 %,-6882, ,47.3,1.53,18,96.3 %,5282359,0.06 %,9735033990,127
France,2020,65273511,0.25 %,164062,36527,42.3,1.85,119,81.5 %,53217966,0.84 %,7794798739,22
France,2025,66050605,0.24 %,155419,63220,43.2,1.85,121,83.3 %,55018724,0.81 %,8184437460,23
France,2030,66695702,0.19 %,129019,65276,44.1,1.85,122,85.1 %,56788735,0.78 %,8548487400,23
France,2035,67229467,0.16 %,106753,68039,44.9,1.85,123,87.0 %,58488890,0.76 %,8887524213,25
France,2040,67570912,0.10 %,68289,68020,45.3,1.85,123,88.8 %,60004346,0.73 %,9198847240,26
France,2045,67677391,0.03 %,21296,68130,45.5,1.85,124,90.6 %,61284338,0.71 %,9481803274,27
France,2050,67586728,-0.03 %,-18133, ,45.9,1.85,123,92.3 %,62373862,0.69 %,9735033990,28
French Guiana,2020,298682,2.73 %,7537,1200,25.1,3.36,4,87.3 %,260877,0.00 %,7794798739,182
French Guiana,2025,337487,2.47 %,7761,1200,26.1,3.36,4,87.8 %,296315,0.00 %,8184437460,182
French Guiana,2030,377611,2.27 %,8025,1200,27.3,3.36,5,88.4 %,333689,0.00 %,8548487400,180
French Guiana,2035,419025,2.10 %,8283,1200,28.3,3.36,5,89.0 %,372724,0.00 %,8887524213,179
French Guiana,2040,460896,1.92 %,8374,1200,29.2,3.36,6,89.6 %,412890,0.01 %,9198847240,177
French Guiana,2045,502729,1.75 %,8367,1200,30.0,3.36,6,90.2 %,453292,0.01 %,9481803274,176
French Guiana,2050,544807,1.62 %,8416, ,31.1,3.36,7,90.6 %,493365,0.01 %,9735033990,176
French Polynesia,2020,280908,0.56 %,1557,-1000,33.6,1.95,77,64.1 %,180188,0.00 %,7794798739,185
French Polynesia,2025,289028,0.57 %,1624,-500,35.7,1.95,79,64.4 %,186114,0.00 %,8184437460,186
French Polynesia,2030,296714,0.53 %,1537,-200,37.2,1.95,81,65.6 %,194751,0.00 %,8548487400,185
French Polynesia,2035,303023,0.42 %,1262,-100,38.6,1.95,83,67.1 %,203399,0.00 %,8887524213,185
French Polynesia,2040,307527,0.30 %,901,-100,40.1,1.95,84,68.9 %,211963,0.00 %,9198847240,186
French Polynesia,2045,310045,0.16 %,504,-100,41.5,1.95,85,71.1 %,220316,0.00 %,9481803274,186
French Polynesia,2050,310654,0.04 %,122, ,43.0,1.95,85,73.3 %,227666,0.00 %,9735033990,186
Gabon,2020,2225734,2.70 %,55610,3260,22.5,4.0,9,87.1 %,1938139,0.03 %,7794798739,146
Gabon,2025,2487682,2.25 %,52390,1000,22.6,4.0,10,87.3 %,2171202,0.03 %,8184437460,146
Gabon,2030,2744451,1.98 %,51354,1000,23.0,4.0,11,87.6 %,2403217,0.03 %,8548487400,145
Gabon,2035,3001789,1.81 %,51468,1000,23.9,4.0,12,87.8 %,2636380,0.03 %,8887524213,141
Gabon,2040,3265411,1.70 %,52724,1000,25.1,4.0,13,87.9 %,2871071,0.04 %,9198847240,139
Gabon,2045,3536547,1.61 %,54227,1000,26.4,4.0,14,87.9 %,3107080,0.04 %,9481803274,139
Gabon,2050,3809050,1.50 %,54501, ,27.5,4.0,15,87.7 %,3339415,0.04 %,9735033990,135
Gambia,2020,2416668,2.99 %,66162,-3087,17.8,5.25,239,59.4 %,1435308,0.03 %,7794798739,144
Gambia,2025,2780247,2.84 %,72716,-3087,18.3,5.25,275,62.3 %,1731095,0.03 %,8184437460,143
Gambia,2030,3170685,2.66 %,78088,-3087,19.0,5.25,313,64.8 %,2055288,0.04 %,8548487400,138
Gambia,2035,3581557,2.47 %,82174,-3087,19.9,5.25,354,67.1 %,2402797,0.04 %,8887524213,136
Gambia,2040,4008102,2.28 %,85309,-3087,21.1,5.25,396,69.0 %,2765918,0.04 %,9198847240,132
Gambia,2045,4443727,2.08 %,87125,-3087,22.3,5.25,439,70.7 %,3141268,0.05 %,9481803274,131
Gambia,2050,4882101,1.90 %,87675, ,23.5,5.25,482,72.2 %,3523313,0.05 %,9735033990,131
Georgia,2020,3989167,-0.17 %,-7003,-10000,38.3,2.06,57,58.1 %,2317778,0.05 %,7794798739,132
Georgia,2025,3929296,-0.30 %,-11974,-10000,39.2,2.06,57,60.0 %,2358908,0.05 %,8184437460,132
Georgia,2030,3853306,-0.39 %,-15198,-10000,40.4,2.06,55,62.1 %,2394111,0.05 %,8548487400,133
Georgia,2035,3771769,-0.43 %,-16307,-10000,41.3,2.06,54,64.3 %,2425551,0.04 %,8887524213,133
Georgia,2040,3689319,-0.44 %,-16490,-10000,41.5,2.06,53,66.5 %,2453848,0.04 %,9198847240,133
Georgia,2045,3605417,-0.46 %,-16780,-10000,40.8,2.06,52,68.6 %,2474585,0.04 %,9481803274,136
Georgia,2050,3516865,-0.50 %,-17710, ,40.9,2.06,51,70.6 %,2482576,0.04 %,9735033990,137
Germany,2020,83783942,0.48 %,399306,543822,45.7,1.59,240,76.3 %,63930305,1.07 %,7794798739,19
Germany,2025,83515025,-0.06 %,-53783,144500,46.2,1.59,240,77.0 %,64345635,1.02 %,8184437460,19
Germany,2030,83135644,-0.09 %,-75876,149201,47.0,1.59,239,78.0 %,64870669,0.97 %,8548487400,19
Germany,2035,82650082,-0.12 %,-97112,155516,47.8,1.59,237,79.2 %,65466057,0.93 %,8887524213,20
Germany,2040,82003621,-0.16 %,-129292,155472,48.6,1.59,235,80.6 %,66093544,0.89 %,9198847240,20
Germany,2045,81148068,-0.21 %,-171111,155723,49.0,1.59,233,82.1 %,66593386,0.86 %,9481803274,21
Germany,2050,80103978,-0.26 %,-208818, ,49.2,1.59,230,83.4 %,66825911,0.82 %,9735033990,22
Ghana,2020,31072940,2.21 %,644747,-10000,21.5,3.89,137,56.7 %,17625567,0.40 %,7794798739,47
Ghana,2025,34408768,2.06 %,667166,-10000,22.3,3.89,151,59.7 %,20539206,0.42 %,8184437460,47
Ghana,2030,37833419,1.92 %,684930,-10000,23.1,3.89,166,62.5 %,23640801,0.44 %,8548487400,43
Ghana,2035,41331551,1.78 %,699626,-10000,24.0,3.89,182,65.1 %,26911789,0.47 %,8887524213,42
Ghana,2040,44882714,1.66 %,710233,-10000,25.0,3.89,197,67.6 %,30318570,0.49 %,9198847240,40
Ghana,2045,48460553,1.55 %,715568,-10000,26.0,3.89,213,69.9 %,33877647,0.51 %,9481803274,40
Ghana,2050,52016125,1.43 %,711114, ,26.9,3.89,229,72.1 %,37518298,0.53 %,9735033990,39
Gibraltar,2020,33691,-0.03 %,-9,,,,3369,N.A.,N.A.,0 %,7794798739,219
Gibraltar,2025,33763,0.04 %,14,,,,3376,N.A.,N.A.,0 %,8184437460,219
Gibraltar,2030,33914,0.09 %,30,,,,3391,N.A.,N.A.,0 %,8548487400,219
Gibraltar,2035,34058,0.08 %,29,,,,3406,N.A.,N.A.,0 %,8887524213,219
Gibraltar,2040,34134,0.04 %,15,,,,3413,N.A.,N.A.,0 %,9198847240,219
Gibraltar,2045,34096,-0.02 %,-8,,,,3410,N.A.,N.A.,0 %,9481803274,219
Gibraltar,2050,33917,-0.11 %,-36,,,,3392,N.A.,N.A.,0 %,9735033990,218
Greece,2020,10423054,-0.45 %,-47339,-16000,45.6,1.3,81,84.9 %,8850409,0.13 %,7794798739,87
Greece,2025,10154685,-0.52 %,-53674,-8000,47.7,1.3,79,87.6 %,8897137,0.12 %,8184437460,93
Greece,2030,9917250,-0.47 %,-47487,4000,49.7,1.3,77,90.0 %,8925806,0.12 %,8548487400,95
Greece,2035,9712264,-0.42 %,-40997,10000,51.5,1.3,75,92.0 %,8939787,0.11 %,8887524213,98
Greece,2040,9509268,-0.42 %,-40599,10000,52.7,1.3,74,93.9 %,8927247,0.10 %,9198847240,98
Greece,2045,9287494,-0.47 %,-44355,10000,53.2,1.3,72,95.5 %,8870281,0.10 %,9481803274,100
Greece,2050,9029249,-0.56 %,-51649, ,53.4,1.3,70,96.9 %,8753104,0.09 %,9735033990,103
Greenland,2020,56770,0.14 %,79,,,,0,87.3 %,49552,0 %,7794798739,209
Greenland,2025,57190,0.15 %,84,,,,0,88.4 %,50575,0 %,8184437460,209
Greenland,2030,57091,-0.03 %,-20,,,,0,89.5 %,51103,0 %,8548487400,209
Greenland,2035,56535,-0.2 %,-111,,,,0,90.5 %,51159,0 %,8887524213,209
Greenland,2040,55627,-0.32 %,-182,,,,0,91.4 %,50831,0 %,9198847240,210
Greenland,2045,54505,-0.41 %,-224,,,,0,92.2 %,50257,0 %,9481803274,210
Greenland,2050,53300,-0.45 %,-241,,,,0,93 %,49565,0 %,9735033990,212
Grenada,2020,112523,0.53 %,585,-200,32.0,2.07,331,35.5 %,39938,0.00 %,7794798739,195
Grenada,2025,114628,0.37 %,421,-200,33.6,2.07,337,36.4 %,41685,0.00 %,8184437460,195
Grenada,2030,115779,0.20 %,230,-200,35.3,2.07,341,37.6 %,43545,0.00 %,8548487400,195
Grenada,2035,116330,0.10 %,110,-200,36.8,2.07,342,39.3 %,45674,0.00 %,8887524213,196
Grenada,2040,116466,0.02 %,27,-200,37.8,2.07,343,41.2 %,47977,0.00 %,9198847240,196
Grenada,2045,116264,-0.03 %,-40,-200,38.5,2.07,342,43.1 %,50073,0.00 %,9481803274,196
Grenada,2050,115564,-0.12 %,-140, ,39.6,2.07,340,44.8 %,51806,0.00 %,9735033990,196
Guadeloupe,2020,400124,-0.01 %,-26,-1440,43.7,2.17,237,N.A.,N.A.,0.01 %,7794798739,176
Guadeloupe,2025,399248,-0.04 %,-175,-1200,44.6,2.17,236,N.A.,N.A.,0.00 %,8184437460,178
Guadeloupe,2030,400246,0.05 %,200,-800,43.8,2.17,237,N.A.,N.A.,0.00 %,8548487400,178
Guadeloupe,2035,400677,0.02 %,86,-800,42.4,2.17,237,N.A.,N.A.,0.00 %,8887524213,180
Guadeloupe,2040,398342,-0.12 %,-467,-800,42.5,2.17,236,N.A.,N.A.,0.00 %,9198847240,181
Guadeloupe,2045,393355,-0.25 %,-997,-600,43.5,2.17,233,N.A.,N.A.,0.00 %,9481803274,181
Guadeloupe,2050,386922,-0.33 %,-1287, ,44.6,2.17,229,N.A.,N.A.,0.00 %,9735033990,181
Guam,2020,168775,0.84 %,1384,-506,31.4,2.32,313,94.9 %,160185,0.00 %,7794798739,191
Guam,2025,175319,0.76 %,1309,-506,32.8,2.32,325,95.3 %,167029,0.00 %,8184437460,191
Guam,2030,181147,0.66 %,1166,-506,34.3,2.32,335,95.6 %,173154,0.00 %,8548487400,191
Guam,2035,185916,0.52 %,954,-506,35.8,2.32,344,95.9 %,178236,0.00 %,8887524213,191
Guam,2040,189372,0.37 %,691,-506,37.3,2.32,351,96.2 %,182122,0.00 %,9198847240,190
Guam,2045,191583,0.23 %,442,-506,38.7,2.32,355,96.5 %,184823,0.00 %,9481803274,190
Guam,2050,192780,0.12 %,239, ,39.9,2.32,357,96.7 %,186513,0.00 %,9735033990,190
Guatemala,2020,17915568,1.97 %,332628,-9215,22.9,2.9,167,51.8 %,9284293,0.23 %,7794798739,66
Guatemala,2025,19581999,1.79 %,333286,-9120,24.5,2.9,183,54.0 %,10568383,0.24 %,8184437460,65
Guatemala,2030,21212561,1.61 %,326112,-9034,26.3,2.9,198,56.4 %,11963276,0.25 %,8548487400,66
Guatemala,2035,22781986,1.44 %,313885,-8952,28.0,2.9,213,59.0 %,13452310,0.26 %,8887524213,66
Guatemala,2040,24261441,1.27 %,295891,-8870,29.6,2.9,226,61.9 %,15006651,0.26 %,9198847240,65
Guatemala,2045,25645470,1.12 %,276806,-8790,31.3,2.9,239,64.6 %,16571609,0.27 %,9481803274,65
Guatemala,2050,26920712,0.98 %,255048, ,33.0,2.9,251,67.3 %,18121217,0.28 %,9735033990,64
Guinea Bissau,2020,1968001,2.53 %,46160,-1399,18.8,4.51,70,44.9 %,884232,0.03 %,7794798739,150
Guinea Bissau,2025,2209377,2.34 %,48275,-1399,19.4,4.51,79,47.0 %,1038474,0.03 %,8184437460,148
Guinea Bissau,2030,2461208,2.18 %,50366,-1399,20.3,4.51,88,49.1 %,1208633,0.03 %,8548487400,147
Guinea Bissau,2035,2724006,2.05 %,52560,-1399,21.4,4.51,97,51.3 %,1396554,0.03 %,8887524213,146
Guinea Bissau,2040,2996049,1.92 %,54409,-1399,22.6,4.51,107,53.5 %,1602890,0.03 %,9198847240,143
Guinea Bissau,2045,3276010,1.80 %,55992,-1399,23.6,4.51,117,55.7 %,1825798,0.03 %,9481803274,141
Guinea Bissau,2050,3557201,1.66 %,56238, ,24.6,4.51,127,58.0 %,2061916,0.04 %,9735033990,138
Guinea,2020,13132795,2.81 %,340141,-4000,18.0,4.74,53,38.6 %,5070656,0.17 %,7794798739,75
Guinea,2025,15003843,2.70 %,374210,-4000,18.9,4.74,61,40.5 %,6082701,0.18 %,8184437460,75
Guinea,2030,17020915,2.55 %,403414,-4000,19.8,4.74,69,42.9 %,7300274,0.20 %,8548487400,75
Guinea,2035,19149860,2.39 %,425789,-4000,20.7,4.74,78,45.7 %,8744326,0.22 %,8887524213,73
Guinea,2040,21364534,2.21 %,442935,-4000,21.8,4.74,87,48.8 %,10426480,0.23 %,9198847240,70
Guinea,2045,23644150,2.05 %,455923,-4000,22.9,4.74,96,52.1 %,12321183,0.25 %,9481803274,67
Guinea,2050,25971806,1.90 %,465531, ,24.0,4.74,106,55.4 %,14400309,0.27 %,9735033990,66
Guyana,2020,786552,0.49 %,3824,-6000,26.7,2.47,4,26.9 %,211821,0.01 %,7794798739,164
Guyana,2025,804956,0.46 %,3681,-5000,28.4,2.47,4,27.7 %,222762,0.01 %,8184437460,165
Guyana,2030,821590,0.41 %,3327,-3999,30.2,2.47,4,28.7 %,235547,0.01 %,8548487400,166
Guyana,2035,831873,0.25 %,2057,-3910,31.7,2.47,4,30.1 %,250134,0.01 %,8887524213,166
Guyana,2040,835326,0.08 %,691,-3910,33.1,2.47,4,31.9 %,266152,0.01 %,9198847240,167
Guyana,2045,832815,-0.06 %,-502,-3910,34.3,2.47,4,33.8 %,281556,0.01 %,9481803274,167
Guyana,2050,824957,-0.19 %,-1572, ,35.7,2.47,4,35.8 %,295494,0.01 %,9735033990,168
Haiti,2020,11402528,1.29 %,141397,-35000,24.0,2.96,414,56.9 %,6491525,0.15 %,7794798739,82
Haiti,2025,12088562,1.18 %,137207,-32000,25.4,2.96,439,60.7 %,7343428,0.15 %,8184437460,82
Haiti,2030,12733238,1.04 %,128935,-30000,26.8,2.96,462,64.0 %,8143864,0.15 %,8548487400,82
Haiti,2035,13340689,0.94 %,121490,-26000,28.3,2.96,484,66.5 %,8869967,0.15 %,8887524213,81
Haiti,2040,13915918,0.85 %,115046,-20000,29.7,2.96,505,68.3 %,9501032,0.15 %,9198847240,81
Haiti,2045,14431510,0.73 %,103118,-18000,31.2,2.96,524,69.6 %,10044524,0.15 %,9481803274,82
Haiti,2050,14877779,0.61 %,89254, ,32.7,2.96,540,70.7 %,10520388,0.15 %,9735033990,83
Holy See,2020,801,-0.05 %,0,,,,2003,N.A.,N.A.,0 %,7794798739,235
Holy See,2025,802,0.02 %,0,,,,2005,99.9 %,801,0 %,8184437460,235
Holy See,2030,795,-0.18 %,-1,,,,1988,N.A.,N.A.,0 %,8548487400,235
Holy See,2035,797,0.05 %,0,,,,1993,99.7 %,795,0 %,8887524213,235
Holy See,2040,803,0.15 %,1,,,,2008,99.4 %,798,0 %,9198847240,235
Holy See,2045,798,-0.12 %,-1,,,,1995,N.A.,N.A.,0 %,9481803274,235
Holy See,2050,814,0.4 %,3,,,,2035,99 %,806,0 %,9735033990,235
Honduras,2020,9904607,1.68 %,158338,-6800,24.3,2.49,89,57.3 %,5672054,0.13 %,7794798739,92
Honduras,2025,10692198,1.54 %,157518,-5200,26.4,2.49,96,60.1 %,6421078,0.13 %,8184437460,87
Honduras,2030,11449249,1.38 %,151410,-3600,28.4,2.49,102,62.6 %,7168582,0.13 %,8548487400,86
Honduras,2035,12148489,1.19 %,139848,-3000,30.4,2.49,109,65.0 %,7891537,0.14 %,8887524213,85
Honduras,2040,12780361,1.02 %,126374,-2400,32.4,2.49,114,67.1 %,8569830,0.14 %,9198847240,84
Honduras,2045,13340686,0.86 %,112065,-1600,34.2,2.49,119,69.0 %,9204529,0.14 %,9481803274,85
Honduras,2050,13830799,0.72 %,98023, ,36.0,2.49,124,70.8 %,9792880,0.14 %,9735033990,86
Hong Kong,2020,7496981,0.85 %,62197,29308,44.8,1.33,7140,N.A.,N.A.,0.10 %,7794798739,104
Hong Kong,2025,7755531,0.68 %,51710,24000,46.4,1.33,7386,N.A.,N.A.,0.09 %,8184437460,104
Hong Kong,2030,8018670,0.67 %,52628,36440,47.9,1.33,7637,99.6 %,7987249,0.09 %,8548487400,105
Hong Kong,2035,8118975,0.25 %,20061,20000,49.7,1.33,7732,N.A.,N.A.,0.09 %,8887524213,105
Hong Kong,2040,8140302,0.05 %,4265,20000,51.3,1.33,7753,N.A.,N.A.,0.09 %,9198847240,107
Hong Kong,2045,8105788,-0.08 %,-6903,20000,52.7,1.33,7720,N.A.,N.A.,0.09 %,9481803274,110
Hong Kong,2050,8041048,-0.16 %,-12948, ,53.4,1.33,7658,N.A.,N.A.,0.08 %,9735033990,113
Hungary,2020,9660351,-0.24 %,-23514,6000,43.3,1.49,107,71.7 %,6921767,0.12 %,7794798739,94
Hungary,2025,9514334,-0.30 %,-29203,6000,45.1,1.49,105,72.9 %,6937818,0.12 %,8184437460,96
Hungary,2030,9338446,-0.37 %,-35178,6000,45.9,1.49,103,74.3 %,6939686,0.11 %,8548487400,99
Hungary,2035,9131845,-0.45 %,-41320,6000,46.7,1.49,101,75.8 %,6919434,0.10 %,8887524213,101
Hungary,2040,8906600,-0.50 %,-45049,6000,47.4,1.49,98,77.3 %,6881044,0.10 %,9198847240,102
Hungary,2045,8681804,-0.51 %,-44959,6000,48.0,1.49,96,78.7 %,6831302,0.09 %,9481803274,105
Hungary,2050,8470230,-0.49 %,-42315, ,48.0,1.49,94,80.0 %,6774040,0.09 %,9735033990,109
Iceland,2020,341243,0.66 %,2200,380,37.5,1.77,3,94.4 %,322286,0.00 %,7794798739,180
Iceland,2025,351184,0.58 %,1988,380,39.0,1.77,4,95.2 %,334395,0.00 %,8184437460,180
Iceland,2030,359711,0.48 %,1705,380,40.5,1.77,4,96.0 %,345315,0.00 %,8548487400,182
Iceland,2035,366606,0.38 %,1379,380,42.1,1.77,4,96.8 %,354716,0.00 %,8887524213,182
Iceland,2040,371746,0.28 %,1028,380,43.5,1.77,4,97.5 %,362573,0.00 %,9198847240,182
Iceland,2045,375085,0.18 %,668,380,44.4,1.77,4,98.4 %,368909,0.00 %,9481803274,182
Iceland,2050,376693,0.09 %,322, ,45.1,1.77,4,99.2 %,373768,0.00 %,9735033990,183
India,2020,1380004385,1.04 %,13970396,-532687,28.4,2.24,464,35.0 %,483098640,17.70 %,7794798739,2
India,2025,1445011620,0.92 %,13001447,-464081,30.0,2.24,486,37.6 %,542742539,17.66 %,8184437460,2
India,2030,1503642322,0.80 %,11726140,-440124,31.7,2.24,506,40.4 %,607341981,17.59 %,8548487400,1
India,2035,1553723810,0.66 %,10016298,-415732,33.3,2.24,523,43.5 %,675456367,17.48 %,8887524213,1
India,2040,1592691513,0.50 %,7793541,-415736,35.0,2.24,536,46.7 %,744380367,17.31 %,9198847240,1
India,2045,1620619200,0.35 %,5585537,-414772,36.6,2.24,545,50.1 %,811749463,17.09 %,9481803274,1
India,2050,1639176033,0.23 %,3711367, ,38.1,2.24,551,53.5 %,876613025,16.84 %,9735033990,1
Indonesia,2020,273523615,1.15 %,3028072,-98955,29.7,2.32,151,56.4 %,154188546,3.51 %,7794798739,4
Indonesia,2025,287089635,0.97 %,2713204,-105450,31.0,2.32,158,59.3 %,170361295,3.51 %,8184437460,4
Indonesia,2030,299198430,0.83 %,2421759,-100007,32.4,2.32,165,62.1 %,185755185,3.50 %,8548487400,4
Indonesia,2035,309764944,0.70 %,2113303,-94464,33.8,2.32,171,64.6 %,200062259,3.49 %,8887524213,4
Indonesia,2040,318637858,0.57 %,1774583,-94465,35.1,2.32,176,66.8 %,212896712,3.46 %,9198847240,5
Indonesia,2045,325705348,0.44 %,1413498,-94247,36.2,2.32,180,68.8 %,224183450,3.44 %,9481803274,5
Indonesia,2050,330904664,0.32 %,1039863, ,37.4,2.32,183,70.7 %,234104967,3.40 %,9735033990,6
Iran,2020,83992949,1.36 %,1100147,-55000,32.0,2.15,52,75.5 %,63420504,1.08 %,7794798739,18
Iran,2025,88774776,1.11 %,956365,-40000,34.2,2.15,55,76.3 %,67760281,1.08 %,8184437460,17
Iran,2030,92663708,0.86 %,777786,-40000,36.2,2.15,57,76.8 %,71204909,1.08 %,8548487400,17
Iran,2035,95843973,0.68 %,636053,-40000,37.6,2.15,59,77.3 %,74092307,1.08 %,8887524213,17
Iran,2040,98593620,0.57 %,549929,-40000,38.6,2.15,61,77.8 %,76665787,1.07 %,9198847240,18
Iran,2045,101032191,0.49 %,487714,-40000,39.4,2.15,62,78.1 %,78860081,1.07 %,9481803274,18
Iran,2050,103098075,0.41 %,413177, ,40.2,2.15,63,78.0 %,80441107,1.06 %,9735033990,18
Iraq,2020,40222493,2.49 %,930046,7834,21.0,3.68,93,73.1 %,29422695,0.52 %,7794798739,36
Iraq,2025,45187256,2.36 %,992953,19636,22.1,3.68,104,75.3 %,34038857,0.55 %,8184437460,35
Iraq,2030,50193756,2.12 %,1001300,-12475,23.1,3.68,116,78.1 %,39208015,0.59 %,8548487400,33
Iraq,2035,55342596,1.97 %,1029768,-10000,24.2,3.68,127,81.3 %,44985190,0.62 %,8887524213,31
Iraq,2040,60583723,1.83 %,1048225,-6000,25.4,3.68,139,84.8 %,51382438,0.66 %,9198847240,29
Iraq,2045,65809029,1.67 %,1045061,-6000,26.5,3.68,152,88.6 %,58291219,0.69 %,9481803274,29
Iraq,2050,70940126,1.51 %,1026219, ,27.5,3.68,163,92.4 %,65559682,0.73 %,9735033990,27
Ireland,2020,4937786,1.20 %,57072,23604,38.2,1.84,72,63.0 %,3111336,0.06 %,7794798739,124
Ireland,2025,5109284,0.69 %,34300,10000,40.2,1.84,74,64.5 %,3294830,0.06 %,8184437460,126
Ireland,2030,5248041,0.54 %,27751,10000,41.5,1.84,76,66.4 %,3484384,0.06 %,8548487400,126
Ireland,2035,5372137,0.47 %,24819,10000,42.3,1.84,78,68.7 %,3690823,0.06 %,8887524213,125
Ireland,2040,5489088,0.43 %,23390,10000,42.8,1.84,80,71.3 %,3914878,0.06 %,9198847240,125
Ireland,2045,5595132,0.38 %,21209,10000,43.4,1.84,81,74.0 %,4142854,0.06 %,9481803274,125
Ireland,2050,5677615,0.29 %,16497, ,44.2,1.84,82,76.7 %,4354062,0.06 %,9735033990,125
Isle Of Man,2020,85033,0.43 %,360,,,,149,53.4 %,45437,0 %,7794798739,202
Isle Of Man,2025,86602,0.37 %,314,,,,152,55.1 %,47695,0 %,8184437460,202
Isle Of Man,2030,87993,0.32 %,278,,,,154,57.1 %,50241,0 %,8548487400,202
Isle Of Man,2035,89199,0.27 %,241,,,,156,59.5 %,53093,0 %,8887524213,202
Isle Of Man,2040,90095,0.2 %,179,,,,158,62.3 %,56098,0 %,9198847240,202
Isle Of Man,2045,90658,0.12 %,113,,,,159,65.1 %,59023,0 %,9481803274,202
Isle Of Man,2050,90748,0.02 %,18,,,,159,68.1 %,61767,0 %,9735033990,201
Israel,2020,8655535,1.64 %,135409,10000,30.5,3.04,400,93.2 %,8067603,0.11 %,7794798739,100
Israel,2025,9318966,1.49 %,132686,10000,30.8,3.04,431,93.3 %,8698204,0.11 %,8184437460,98
Israel,2030,9979698,1.38 %,132146,10000,31.3,3.04,461,93.6 %,9337252,0.12 %,8548487400,97
Israel,2035,10649804,1.31 %,134021,10000,31.8,3.04,492,93.8 %,9993823,0.12 %,8887524213,95
Israel,2040,11332901,1.25 %,136619,10000,32.5,3.04,524,94.1 %,10663552,0.12 %,9198847240,90
Israel,2045,12027943,1.20 %,139008,10000,33.2,3.04,556,94.3 %,11336955,0.13 %,9481803274,91
Israel,2050,12720416,1.13 %,138495, ,34.2,3.04,588,94.3 %,11997347,0.13 %,9735033990,90
Italy,2020,60461826,-0.04 %,-23334,148943,47.3,1.33,206,69.5 %,42006701,0.78 %,7794798739,23
Italy,2025,59876551,-0.19 %,-117055,117406,49.2,1.33,204,71.1 %,42568771,0.73 %,8184437460,25
Italy,2030,59031475,-0.28 %,-169015,93251,50.8,1.33,201,73.1 %,43160835,0.69 %,8548487400,26
Italy,2035,58135633,-0.31 %,-179168,97198,51.9,1.33,198,75.2 %,43721504,0.65 %,8887524213,29
Italy,2040,57160361,-0.34 %,-195054,97171,52.6,1.33,194,77.3 %,44209769,0.62 %,9198847240,31
Italy,2045,55938765,-0.43 %,-244319,77862,53.2,1.33,190,79.6 %,44551510,0.59 %,9481803274,34
Italy,2050,54381673,-0.56 %,-311418, ,53.6,1.33,185,82.1 %,44670873,0.56 %,9735033990,36
Jamaica,2020,2961167,0.48 %,14029,-11332,30.7,1.99,273,55.4 %,1640435,0.04 %,7794798739,138
Jamaica,2025,3015321,0.36 %,10831,-11332,32.7,1.99,278,56.6 %,1706544,0.04 %,8184437460,138
Jamaica,2030,3047974,0.22 %,6531,-11332,34.7,1.99,281,58.1 %,1769809,0.04 %,8548487400,139
Jamaica,2035,3057896,0.07 %,1984,-11332,36.8,1.99,282,59.7 %,1827045,0.03 %,8887524213,139
Jamaica,2040,3045162,-0.08 %,-2547,-11332,38.7,1.99,281,61.4 %,1870747,0.03 %,9198847240,141
Jamaica,2045,3011815,-0.22 %,-6669,-11332,40.3,1.99,278,63.0 %,1896280,0.03 %,9481803274,142
Jamaica,2050,2960317,-0.34 %,-10300, ,41.5,1.99,273,64.3 %,1904123,0.03 %,9735033990,142
Japan,2020,126476461,-0.24 %,-301734,71560,48.4,1.37,347,91.8 %,116099672,1.62 %,7794798739,11
Japan,2025,123975982,-0.40 %,-500096,64628,50.5,1.37,340,92.5 %,114645589,1.51 %,8184437460,12
Japan,2030,120758057,-0.52 %,-643585,46626,52.1,1.37,331,93.3 %,112710068,1.41 %,8548487400,13
Japan,2035,117166141,-0.60 %,-718383,48599,53.3,1.37,321,94.3 %,110450118,1.32 %,8887524213,15
Japan,2040,113356476,-0.66 %,-761933,48586,54.1,1.37,311,95.3 %,107981843,1.23 %,9198847240,15
Japan,2045,109529351,-0.68 %,-765425,48663,54.6,1.37,300,96.3 %,105471938,1.16 %,9481803274,16
Japan,2050,105804027,-0.69 %,-745065, ,54.7,1.37,290,97.4 %,103038909,1.09 %,9735033990,17
Jordan,2020,10203134,1.94 %,187312,10220,23.8,2.77,115,91.5 %,9332603,0.13 %,7794798739,88
Jordan,2025,10339839,0.27 %,27341,-143957,25.6,2.77,116,94.8 %,9802267,0.13 %,8184437460,91
