country,year,population,yearly change (%),yearly change,migrants (net),median age,fertility rate,density (p/km2),urban population (%),urban population,country's shared of world population,world population,rank
Libya,2010,6197663,1.34 %,79810,-23711,25.7,2.5,4,77.7 %,4815154,0.09 %,6956823603.0,108.0
Libya,2005,5798614,1.59 %,88145,-4114,24.0,2.64,3,77.0 %,4465029,0.09 %,6541907027.0,104.0
Libya,2000,5357891,1.60 %,81819,-11474,22.1,3.2,3,76.4 %,4091103,0.09 %,6143493823.0,104.0
Libya,1995,4948798,2.21 %,102427,793,20.2,4.22,3,76.0 %,3760787,0.09 %,5744212979.0,107.0
Libya,1990,4436661,2.75 %,112576,1098,18.5,5.71,3,75.7 %,3359579,0.08 %,5327231061.0,109.0
Libya,1985,3873781,3.77 %,130863,22676,17.4,6.68,2,75.5 %,2922777,0.08 %,4870921740.0,112.0
Libya,1980,3219466,4.01 %,114865,11507,16.1,7.67,2,70.1 %,2256637,0.07 %,4458003514.0,117.0
Libya,1975,2645139,4.39 %,102323,11733,16.1,8.1,2,62.8 %,1660757,0.06 %,4079480606.0,122.0
Libya,1970,2133526,4.24 %,80044,9600,17.0,7.99,1,49.7 %,1059737,0.06 %,3700437046.0,126.0
Libya,1965,1733306,3.66 %,56978,9178,18.5,7.3,1,33.7 %,583541,0.05 %,3339583597.0,132.0
Libya,1960,1448417,3.07 %,40612,9204,19.3,7.2,1,27.3 %,395754,0.05 %,3034949748.0,132.0
Libya,1955,1245358,2.06 %,24169,0,19.8,7.14,1,23.2 %,289027,0.04 %,2773019936.0,132.0
Liechtenstein,2019,38019,0.29 %,109,238,14.5 %,5519,0.00 %,7713468100,216,,,
Liechtenstein,2018,37910,0.29 %,110,237,14.4 %,5470,0.00 %,7631091040,215,,,
Liechtenstein,2017,37800,0.38 %,142,236,14.4 %,5429,0.00 %,7547858925,215,,,
Liechtenstein,2016,37658,0.5 %,188,235,14.3 %,5388,0 %,7464022049,215,,,
Liechtenstein,2015,37470,0.81 %,295,234,14.3 %,5350,0 %,7379797139,215,,,
Liechtenstein,2010,35994,0.73 %,256,225,14.5 %,5208,0 %,6956823603,214,,,
Liechtenstein,2005,34713,0.9 %,306,217,14.8 %,5137,0 %,6541907027,213,,,
Liechtenstein,2000,33184,1.45 %,461,207,15.2 %,5036,0 %,6143493823,213,,,
Liechtenstein,1995,30880,1.41 %,418,193,16.5 %,5082,0 %,5744212979,214,,,
Liechtenstein,1990,28789,1.08 %,300,180,16.9 %,4866,0 %,5327231061,216,,,
Liechtenstein,1985,27288,1.07 %,282,171,17.6 %,4802,0 %,4870921740,214,,,
Liechtenstein,1980,25879,2 %,488,162,18.3 %,4727,0 %,4458003514,213,,,
Liechtenstein,1975,23438,1.96 %,434,146,18.3 %,4294,0 %,4079480606,213,,,
Liechtenstein,1970,21266,2.66 %,523,133,18.5 %,3924,0 %,3700437046,213,,,
Liechtenstein,1965,18649,2.49 %,431,117,16.2 %,3019,0 %,3339583597,212,,,
Liechtenstein,1960,16493,2.15 %,333,103,20.4 %,3371,0 %,3034949748,212,,,
Liechtenstein,1955,14830,1.51 %,214,93,20.4 %,3019,0 %,2773019936,212,,,
Lithuania,2020,2722289,-1.35 %,-37338,-32780,45.1,1.67,43,71.3 %,1940986,0.03 %,7794798739.0,142.0
Lithuania,2019,2759627,-1.49 %,-41637,-32780,43.1,1.61,44,70.4 %,1943693,0.04 %,7713468100.0,142.0
Lithuania,2018,2801264,-1.55 %,-44150,-32780,43.1,1.61,45,69.5 %,1946762,0.04 %,7631091040.0,141.0
Lithuania,2017,2845414,-1.53 %,-44143,-32780,43.1,1.61,45,68.6 %,1951399,0.04 %,7547858925.0,141.0
Lithuania,2016,2889557,-1.44 %,-42323,-32780,43.1,1.61,46,67.8 %,1959170,0.04 %,7464022049.0,140.0
Lithuania,2015,2931880,-1.26 %,-38387,-29243,42.7,1.59,47,67.2 %,1971134,0.04 %,7379797139.0,138.0
Lithuania,2010,3123816,-1.35 %,-44090,-30186,40.6,1.42,50,66.8 %,2085346,0.04 %,6956823603.0,135.0
Lithuania,2005,3344268,-0.92 %,-31514,-19821,38.5,1.28,53,66.6 %,2228451,0.05 %,6541907027.0,130.0
Lithuania,2000,3501839,-0.70 %,-24955,-18785,35.9,1.47,56,67.0 %,2345732,0.06 %,6143493823.0,127.0
Lithuania,1995,3626612,-0.38 %,-13885,-20060,34.0,1.82,58,67.3 %,2440163,0.06 %,5744212979.0,121.0
Lithuania,1990,3696035,0.74 %,26728,7373,32.7,2.06,59,67.6 %,2497889,0.07 %,5327231061.0,118.0
Lithuania,1985,3562397,0.76 %,26327,8761,32.1,2.04,57,65.0 %,2316928,0.07 %,4870921740.0,117.0
Lithuania,1980,3430760,0.79 %,26376,7763,32.0,2.1,55,61.2 %,2098183,0.08 %,4458003514.0,112.0
Lithuania,1975,3298879,1.01 %,32459,7556,31.5,2.3,53,55.7 %,1836988,0.08 %,4079480606.0,107.0
Lithuania,1970,3136586,1.12 %,34084,5263,30.8,2.3,50,49.6 %,1554334,0.08 %,3700437046.0,106.0
Lithuania,1965,2966165,1.38 %,39258,4943,29.7,2.43,47,44.4 %,1318453,0.09 %,3339583597.0,100.0
Lithuania,1960,2769876,1.05 %,28225,-4900,28.5,2.66,44,39.5 %,1093002,0.09 %,3034949748.0,105.0
Lithuania,1955,2628751,0.47 %,12270,-14670,28.0,2.84,42,34.1 %,895127,0.09 %,2773019936.0,100.0
Luxembourg,2020,625978,1.66 %,10249,9741,39.7,1.45,242,88.2 %,552328,0.01 %,7794798739.0,169.0
Luxembourg,2019,615729,1.90 %,11484,9741,39.4,1.53,238,88.4 %,544596,0.01 %,7713468100.0,169.0
Luxembourg,2018,604245,2.08 %,12335,9741,39.4,1.53,233,88.9 %,537082,0.01 %,7631091040.0,169.0
Luxembourg,2017,591910,2.18 %,12646,9741,39.4,1.53,229,89.4 %,529352,0.01 %,7547858925.0,169.0
Luxembourg,2016,579264,2.21 %,12523,9741,39.4,1.53,224,89.9 %,520820,0.01 %,7464022049.0,169.0
Luxembourg,2015,566741,2.22 %,11770,9741,39.3,1.55,219,90.2 %,511081,0.01 %,7379797139.0,169.0
Luxembourg,2010,507889,2.10 %,10009,8456,38.9,1.62,196,88.5 %,449722,0.01 %,6956823603.0,170.0
Luxembourg,2005,457842,0.98 %,4348,2895,38.5,1.65,177,86.6 %,396482,0.01 %,6541907027.0,171.0
Luxembourg,2000,436103,1.33 %,5591,3988,37.3,1.72,168,84.2 %,367269,0.01 %,6143493823.0,168.0
Luxembourg,1995,408149,1.34 %,5272,4008,36.7,1.66,158,82.9 %,338327,0.01 %,5744212979.0,168.0
Luxembourg,1990,381791,0.80 %,2981,2566,36.4,1.47,147,80.9 %,309047,0.01 %,5327231061.0,169.0
Luxembourg,1985,366884,0.16 %,569,510,35.8,1.47,142,80.7 %,295961,0.01 %,4870921740.0,166.0
Luxembourg,1980,364038,0.56 %,2011,2369,35.0,1.49,141,80.0 %,291384,0.01 %,4458003514.0,162.0
Luxembourg,1975,353983,0.83 %,2863,3057,35.0,1.72,137,77.3 %,273618,0.01 %,4079480606.0,162.0
Luxembourg,1970,339668,0.57 %,1901,1184,35.4,2.19,131,74.4 %,252625,0.01 %,3700437046.0,161.0
Luxembourg,1965,330161,0.97 %,3115,1705,35.3,2.4,127,72.0 %,237576,0.01 %,3339583597.0,158.0
Luxembourg,1960,314588,0.60 %,1865,838,35.2,2.23,121,69.6 %,218815,0.01 %,3034949748.0,159.0
Luxembourg,1955,305261,0.62 %,1852,1151,35.7,1.98,118,68.4 %,208830,0.01 %,2773019936.0,158.0
Macao,2020,649335,1.39 %,8890,5000,39.3,1.2,21645,N.A.,N.A.,0.01 %,7794798739.0,167.0
Macao,2019,640445,1.39 %,8809,5000,37.9,1.19,21348,N.A.,N.A.,0.01 %,7713468100.0,167.0
Macao,2018,631636,1.45 %,9051,5000,37.9,1.19,21055,N.A.,N.A.,0.01 %,7631091040.0,167.0
Macao,2017,622585,1.59 %,9749,5000,37.9,1.19,20753,100.0 %,622567,0.01 %,7547858925.0,168.0
Macao,2016,612836,1.79 %,10751,5000,37.9,1.19,20428,99.9 %,612167,0.01 %,7464022049.0,168.0
Macao,2015,602085,2.27 %,12773,8470,37.5,1.19,20070,99.8 %,600942,0.01 %,7379797139.0,168.0
Macao,2010,538219,2.19 %,11072,8476,36.3,0.98,17941,99.8 %,536969,0.01 %,6956823603.0,167.0
Macao,2005,482858,2.45 %,11015,9257,34.4,0.85,16095,99.9 %,482559,0.01 %,6541907027.0,168.0
Macao,2000,427782,2.10 %,8454,5573,33.4,1.12,14259,N.A.,N.A.,0.01 %,6143493823.0,170.0
Macao,1995,385513,2.32 %,8341,4369,31.1,1.41,12850,100.0 %,385339,0.01 %,5744212979.0,171.0
Macao,1990,343808,3.93 %,12061,6693,28.9,2.0,11460,99.8 %,343119,0.01 %,5327231061.0,172.0
Macao,1985,283503,3.55 %,9086,5029,27.6,2.06,9450,99.4 %,281813,0.01 %,4870921740.0,173.0
Macao,1980,238071,-0.30 %,-711,-2007,25.7,1.41,7936,98.5 %,234592,0.01 %,4458003514.0,173.0
Macao,1975,241628,-0.37 %,-913,-2194,22.6,1.79,8054,97.9 %,236533,0.01 %,4079480606.0,172.0
Macao,1970,246194,3.91 %,8593,6720,18.8,2.74,8206,97.0 %,238887,0.01 %,3700437046.0,168.0
Macao,1965,203228,3.91 %,7087,3812,17.6,4.41,6774,96.2 %,195462,0.01 %,3339583597.0,168.0
Macao,1960,167791,-2.40 %,-4334,-8756,21.3,4.81,5593,95.3 %,159892,0.01 %,3034949748.0,171.0
Macao,1955,189460,-0.73 %,-1404,-6475,25.2,4.39,6315,96.2 %,182204,0.01 %,2773019936.0,168.0
Madagascar,2020,27691018,2.68 %,721711,-1500,19.6,4.11,48,38.5 %,10670252,0.36 %,7794798739.0,51.0
Madagascar,2019,26969307,2.69 %,706994,-1500,18.9,4.34,46,37.9 %,10211029,0.35 %,7713468100.0,51.0
Madagascar,2018,26262313,2.71 %,691801,-1500,18.9,4.34,45,37.2 %,9767285,0.34 %,7631091040.0,51.0
Madagascar,2017,25570512,2.72 %,676142,-1500,18.9,4.34,44,36.5 %,9339025,0.34 %,7547858925.0,51.0
Madagascar,2016,24894370,2.72 %,660282,-1500,18.9,4.34,43,35.9 %,8926246,0.33 %,7464022049.0,52.0
Madagascar,2015,24234088,2.76 %,616490,-1500,18.7,4.4,42,35.2 %,8528793,0.33 %,7379797139.0,52.0
Madagascar,2010,21151640,2.90 %,562983,-1500,18.0,4.83,36,31.9 %,6755337,0.30 %,6956823603.0,55.0
Madagascar,2005,18336724,3.07 %,513984,-1500,17.5,5.28,32,28.8 %,5283543,0.28 %,6541907027.0,58.0
Madagascar,2000,15766806,3.19 %,458281,-1700,17.3,5.8,27,27.1 %,4276171,0.26 %,6143493823.0,59.0
Madagascar,1995,13475400,3.05 %,375353,-1900,17.2,6.1,23,25.8 %,3476130,0.23 %,5744212979.0,62.0
Madagascar,1990,11598633,2.88 %,307028,-2000,17.1,6.25,20,23.6 %,2733282,0.22 %,5327231061.0,62.0
Madagascar,1985,10063495,2.92 %,269388,-2000,16.9,6.5,17,20.9 %,2106614,0.21 %,4870921740.0,62.0
Madagascar,1980,8716553,2.90 %,232105,-6000,16.8,6.95,15,18.5 %,1614681,0.20 %,4458003514.0,67.0
Madagascar,1975,7556026,2.82 %,195944,-3800,17.0,7.2,13,16.3 %,1234215,0.19 %,4079480606.0,67.0
Madagascar,1970,6576305,2.65 %,161417,-1600,17.2,7.3,11,14.1 %,927259,0.18 %,3700437046.0,68.0
Madagascar,1965,5769218,2.50 %,133969,0,17.9,7.3,10,12.4 %,714199,0.17 %,3339583597.0,73.0
Madagascar,1960,5099373,2.34 %,111166,0,19.2,7.3,9,10.6 %,542656,0.17 %,3034949748.0,73.0
Madagascar,1955,4543542,2.16 %,91998,0,20.2,7.3,8,9.1 %,414442,0.16 %,2773019936.0,73.0
Malawi,2020,19129952,2.69 %,501205,-16053,18.1,4.25,203,18.5 %,3534836,0.25 %,7794798739.0,62.0
Malawi,2019,18628747,2.68 %,485530,-16053,17.4,4.75,198,18.2 %,3386573,0.24 %,7713468100.0,63.0
Malawi,2018,18143217,2.68 %,473021,-16053,17.4,4.75,192,17.9 %,3245933,0.24 %,7631091040.0,64.0
Malawi,2017,17670196,2.70 %,464935,-16053,17.4,4.75,187,17.6 %,3112590,0.23 %,7547858925.0,64.0
Malawi,2016,17205261,2.75 %,459958,-16053,17.4,4.75,182,17.4 %,2986276,0.23 %,7464022049.0,65.0
Malawi,2015,16745303,2.87 %,441138,-16053,17.2,4.88,178,17.1 %,2866700,0.23 %,7379797139.0,66.0
Malawi,2010,14539612,2.86 %,382732,-11833,16.6,5.73,154,16.2 %,2357581,0.21 %,6956823603.0,68.0
Malawi,2005,12625952,2.52 %,295439,-11833,16.6,6.0,134,15.5 %,1962982,0.19 %,6541907027.0,69.0
Malawi,2000,11148758,2.52 %,260869,-11833,16.9,6.2,118,14.9 %,1662050,0.18 %,6143493823.0,69.0
Malawi,1995,9844415,0.92 %,87983,-172379,17.4,6.5,104,13.4 %,1314278,0.17 %,5744212979.0,76.0
Malawi,1990,9404500,5.29 %,427247,175415,17.5,7.25,100,11.6 %,1090992,0.18 %,5327231061.0,73.0
Malawi,1985,7268267,3.06 %,203565,0,16.8,7.6,77,10.1 %,732861,0.15 %,4870921740.0,81.0
Malawi,1980,6250440,3.03 %,173129,2800,17.1,7.6,66,8.9 %,557771,0.14 %,4458003514.0,83.0
Malawi,1975,5384795,2.74 %,136203,-3000,17.4,7.4,57,7.5 %,404986,0.13 %,4079480606.0,83.0
Malawi,1970,4703782,2.61 %,113864,0,17.9,7.2,50,5.9 %,278646,0.13 %,3700437046.0,85.0
Malawi,1965,4134460,2.47 %,94895,0,18.1,7.0,44,4.8 %,199188,0.12 %,3339583597.0,89.0
Malawi,1960,3659984,2.28 %,77887,0,18.0,6.9,39,4.3 %,158848,0.12 %,3034949748.0,88.0
Malawi,1955,3270548,2.06 %,63335,0,17.7,6.85,35,3.9 %,127621,0.12 %,2773019936.0,89.0
Malaysia,2020,32365999,1.30 %,416222,50000,30.3,2.01,99,78.4 %,25361963,0.42 %,7794798739.0,45.0
Malaysia,2019,31949777,1.34 %,421744,50000,28.6,2.09,97,77.8 %,24862312,0.41 %,7713468100.0,44.0
Malaysia,2018,31528033,1.36 %,423387,50000,28.6,2.09,96,77.3 %,24363730,0.41 %,7631091040.0,44.0
Malaysia,2017,31104646,1.37 %,419992,50000,28.6,2.09,95,76.7 %,23859450,0.41 %,7547858925.0,44.0
Malaysia,2016,30684654,1.37 %,413692,50000,28.6,2.09,93,76.1 %,23340549,0.41 %,7464022049.0,44.0
Malaysia,2015,30270962,1.42 %,412585,50000,28.2,2.11,92,75.3 %,22800563,0.41 %,7379797139.0,44.0
Malaysia,2010,28208035,1.89 %,503485,152376,26.0,2.22,86,70.7 %,19934949,0.41 %,6956823603.0,44.0
Malaysia,2005,25690611,2.07 %,499271,134295,25.0,2.45,78,66.5 %,17087554,0.39 %,6541907027.0,44.0
Malaysia,2000,23194257,2.51 %,541330,103338,23.8,3.13,71,62.0 %,14369654,0.38 %,6143493823.0,44.0
Malaysia,1995,20487607,2.59 %,491557,58471,22.5,3.44,62,55.7 %,11413601,0.36 %,5744212979.0,45.0
Malaysia,1990,18029824,2.94 %,486179,85091,21.6,3.67,55,49.8 %,8981973,0.34 %,5327231061.0,45.0
Malaysia,1985,15598927,2.48 %,360168,-15457,20.5,3.97,47,45.9 %,7158888,0.32 %,4870921740.0,48.0
Malaysia,1980,13798085,2.56 %,327180,-1089,19.5,4.2,42,42.0 %,5801245,0.31 %,4458003514.0,49.0
Malaysia,1975,12162187,2.40 %,271611,-27061,18.6,4.72,37,37.7 %,4579380,0.30 %,4079480606.0,49.0
Malaysia,1970,10804131,2.55 %,255515,-27856,17.6,5.38,33,33.5 %,3614368,0.29 %,3700437046.0,49.0
Malaysia,1965,9526558,3.15 %,274042,-11720,16.9,6.37,29,29.9 %,2849667,0.29 %,3339583597.0,57.0
Malaysia,1960,8156347,2.99 %,223487,-12568,17.6,6.38,25,26.6 %,2169592,0.27 %,3034949748.0,52.0
Malaysia,1955,7038913,2.87 %,185800,-3436,18.5,6.35,21,23.4 %,1648504,0.25 %,2773019936.0,57.0
Maldives,2020,540544,1.81 %,9591,11370,29.9,1.88,1802,34.5 %,186634,0.01 %,7794798739.0,173.0
Maldives,2019,530953,2.96 %,15257,11370,28.9,2.06,1770,34.2 %,181769,0.01 %,7713468100.0,173.0
Maldives,2018,515696,3.89 %,19294,11370,28.9,2.06,1719,34.3 %,176851,0.01 %,7631091040.0,173.0
Maldives,2017,496402,4.39 %,20890,11370,28.9,2.06,1655,34.6 %,171827,0.01 %,7547858925.0,173.0
Maldives,2016,475512,4.53 %,20597,11370,28.9,2.06,1585,35.0 %,166627,0.01 %,7464022049.0,173.0
Maldives,2015,454915,4.46 %,17836,11672,28.6,2.11,1516,35.4 %,161207,0.01 %,7379797139.0,173.0
Maldives,2010,365734,2.73 %,9225,3599,24.9,2.29,1219,36.3 %,132805,0.01 %,6956823603.0,177.0
Maldives,2005,319608,2.73 %,8042,3478,22.2,2.4,1065,33.7 %,107606,0.00 %,6541907027.0,178.0
Maldives,2000,279398,1.91 %,5052,-220,18.7,3.39,931,27.8 %,77683,0.00 %,6143493823.0,179.0
Maldives,1995,254139,2.63 %,6196,-614,16.7,5.16,847,25.6 %,65143,0.00 %,5744212979.0,180.0
Maldives,1990,223158,3.32 %,6724,-521,16.2,6.66,744,25.8 %,57679,0.00 %,5327231061.0,179.0
Maldives,1985,189537,3.67 %,6253,0,16.8,7.26,632,25.5 %,48340,0.00 %,4870921740.0,179.0
Maldives,1980,158272,3.02 %,4371,0,17.1,6.85,528,22.3 %,35241,0.00 %,4458003514.0,179.0
Maldives,1975,136417,3.35 %,4145,483,17.1,7.17,455,17.3 %,23623,0.00 %,4079480606.0,181.0
Maldives,1970,115691,2.41 %,2595,-581,17.3,7.22,386,11.9 %,13768,0.00 %,3700437046.0,182.0
Maldives,1965,102718,2.71 %,2571,-116,19.8,7.12,342,11.5 %,11775,0.00 %,3339583597.0,181.0
Maldives,1960,89863,2.43 %,2032,-23,20.3,6.81,300,11.2 %,10043,0.00 %,3034949748.0,181.0
Maldives,1955,79703,1.58 %,1198,-4,19.8,6.03,266,10.9 %,8680,0.00 %,2773019936.0,181.0
Mali,2020,20250833,3.02 %,592802,-40000,16.3,5.92,17,44.0 %,8906636,0.26 %,7794798739.0,60.0
Mali,2019,19658031,3.04 %,580282,-40000,16.0,6.26,16,43.2 %,8493036,0.25 %,7713468100.0,60.0
Mali,2018,19077749,3.05 %,565319,-40000,16.0,6.26,16,42.4 %,8093320,0.25 %,7631091040.0,61.0
Mali,2017,18512430,3.04 %,546987,-40000,16.0,6.26,15,41.6 %,7708268,0.25 %,7547858925.0,61.0
Mali,2016,17965443,3.02 %,526665,-40000,16.0,6.26,15,40.9 %,7338892,0.24 %,7464022049.0,62.0
Mali,2015,17438778,2.99 %,477885,-60490,16.0,6.35,14,40.1 %,6985593,0.24 %,7379797139.0,64.0
Mali,2010,15049353,3.33 %,454767,-20165,16.2,6.7,12,36.1 %,5426927,0.22 %,6956823603.0,65.0
Mali,2005,12775516,3.14 %,365814,-13422,16.5,6.85,10,32.1 %,4103334,0.20 %,6541907027.0,68.0
Mali,2000,10946445,2.69 %,272158,-28390,16.6,6.95,9,28.4 %,3110018,0.18 %,6143493823.0,72.0
Mali,1995,9585653,2.55 %,227148,-34698,16.5,7.15,8,25.6 %,2450930,0.17 %,5744212979.0,77.0
Mali,1990,8449913,1.53 %,123605,-98796,16.5,7.15,7,23.4 %,1974293,0.16 %,5327231061.0,79.0
Mali,1985,7831889,2.01 %,148353,-43613,17.4,7.15,6,21.0 %,1645712,0.16 %,4870921740.0,76.0
Mali,1980,7090126,1.81 %,121570,-35000,17.9,7.15,6,18.5 %,1310570,0.16 %,4458003514.0,77.0
Mali,1975,6482278,1.73 %,106647,-19117,18.5,7.15,5,16.2 %,1052952,0.16 %,4079480606.0,75.0
Mali,1970,5949045,1.33 %,76112,-19647,18.8,7.1,5,14.3 %,852497,0.16 %,3700437046.0,74.0
Mali,1965,5568484,1.13 %,60950,-14049,19.3,7.0,5,12.6 %,702069,0.17 %,3339583597.0,69.0
Mali,1960,5263733,1.13 %,57667,-9814,19.5,6.95,4,11.1 %,582508,0.17 %,3034949748.0,71.0
Mali,1955,4975398,1.11 %,53394,-7006,20.1,6.95,4,9.7 %,482207,0.18 %,2773019936.0,69.0
Malta,2020,441543,0.27 %,1171,900,42.6,1.45,1380,93.2 %,411533,0.01 %,7794798739.0,174.0
Malta,2019,440372,0.26 %,1124,900,41.4,1.41,1376,93.1 %,410188,0.01 %,7713468100.0,174.0
Malta,2018,439248,0.30 %,1315,900,41.4,1.41,1373,93.1 %,408809,0.01 %,7631091040.0,174.0
Malta,2017,437933,0.42 %,1836,900,41.4,1.41,1369,93.0 %,407337,0.01 %,7547858925.0,174.0
Malta,2016,436097,0.59 %,2538,900,41.4,1.41,1363,93.0 %,405661,0.01 %,7464022049.0,174.0
Malta,2015,433559,0.92 %,3861,3101,41.1,1.4,1355,93.1 %,403728,0.01 %,7379797139.0,174.0
Malta,2010,414253,0.47 %,1920,1147,40.2,1.39,1295,94.5 %,391441,0.01 %,6956823603.0,173.0
Malta,2005,404653,0.55 %,2202,1122,38.4,1.47,1265,94.1 %,380936,0.01 %,6541907027.0,173.0
Malta,2000,393645,0.87 %,3350,1276,36.5,1.85,1230,93.1 %,366394,0.01 %,6143493823.0,173.0
Malta,1995,376896,0.81 %,2976,326,35.0,2.01,1178,91.8 %,345871,0.01 %,5744212979.0,172.0
Malta,1990,362015,0.89 %,3153,232,33.1,2.03,1131,91.0 %,329377,0.01 %,5327231061.0,170.0
Malta,1985,346250,0.87 %,2951,511,31.6,1.97,1082,90.6 %,313678,0.01 %,4870921740.0,169.0
Malta,1980,331497,0.56 %,1828,-969,31.0,2.12,1036,90.3 %,299232,0.01 %,4458003514.0,167.0
Malta,1975,322356,0.11 %,362,-1936,29.1,2.01,1007,89.9 %,289707,0.01 %,4079480606.0,166.0
Malta,1970,320545,-0.11 %,-339,-2520,26.9,2.12,1002,89.6 %,287114,0.01 %,3700437046.0,164.0
Malta,1965,322242,0.59 %,1854,-2342,24.3,3.15,1007,89.5 %,288356,0.01 %,3339583597.0,157.0
Malta,1960,312973,-0.04 %,-111,-5545,23.0,3.8,978,89.7 %,280781,0.01 %,3034949748.0,160.0
Malta,1955,313526,0.10 %,305,-5843,21.9,4.15,980,89.7 %,281301,0.01 %,2773019936.0,157.0
Marshall Islands,2019,58791,0.65 %,378,327,70.1 %,41195,0.00 %,7713468100,207,,,
Marshall Islands,2018,58413,0.61 %,355,325,70.1 %,40955,0.00 %,7631091040,207,,,
Marshall Islands,2017,58058,0.56 %,323,323,70.1 %,40714,0.00 %,7547858925,207,,,
Marshall Islands,2016,57735,0.52 %,296,321,70.1 %,40451,0 %,7464022049,207,,,
Marshall Islands,2015,57439,0.38 %,215,319,69.9 %,40175,0 %,7379797139,207,,,
Marshall Islands,2010,56366,0.4 %,222,313,68.4 %,38568,0 %,6956823603,208,,,
Marshall Islands,2005,55258,1.72 %,901,307,67 %,37031,0 %,6541907027,209,,,
Marshall Islands,2000,50753,0.12 %,59,282,70.5 %,35771,0 %,6143493823,209,,,
Marshall Islands,1995,50457,1.31 %,637,280,67.5 %,34041,0 %,5744212979,208,,,
Marshall Islands,1990,47271,4.28 %,1788,263,65.1 %,30769,0 %,5327231061,209,,,
Marshall Islands,1985,38333,4.63 %,1551,213,61.9 %,23745,0 %,4870921740,210,,,
Marshall Islands,1980,30576,3.64 %,1000,170,58.3 %,17825,0 %,4458003514,210,,,
Marshall Islands,1975,25576,4.63 %,1036,142,60.6 %,15507,0 %,4079480606,211,,,
Marshall Islands,1970,20395,3.37 %,622,113,53.5 %,10910,0 %,3700437046,214,,,
Marshall Islands,1965,17284,3.35 %,524,96,23.4 %,4040,0 %,3339583597,214,,,
Marshall Islands,1960,14662,1.08 %,154,81,35.6 %,5217,0 %,3034949748,214,,,
Marshall Islands,1955,13894,1.34 %,179,77,29.1 %,4040,0 %,2773019936,214,,,
Martinique,2020,375265,-0.08 %,-289,-960,47.0,1.88,354,91.6 %,343595,0.00 %,7794798739.0,179.0
Martinique,2019,375554,-0.03 %,-119,-960,45.4,1.96,354,91.4 %,343282,0.00 %,7713468100.0,179.0
Martinique,2018,375673,-0.07 %,-275,-960,45.4,1.96,354,91.3 %,342898,0.00 %,7631091040.0,179.0
Martinique,2017,375948,-0.22 %,-843,-960,45.4,1.96,355,91.1 %,342625,0.00 %,7547858925.0,178.0
Martinique,2016,376791,-0.45 %,-1687,-960,45.4,1.96,355,91.0 %,342721,0.01 %,7464022049.0,178.0
Martinique,2015,378478,-0.83 %,-3237,-4527,45.0,1.98,357,90.7 %,343326,0.01 %,7379797139.0,177.0
Martinique,2010,394663,-0.13 %,-505,-2823,40.5,2.04,372,89.1 %,351666,0.01 %,6956823603.0,175.0
Martinique,2005,397190,0.52 %,2037,-802,37.4,1.93,375,89.3 %,354729,0.01 %,6541907027.0,175.0
Martinique,2000,387004,0.97 %,3654,508,34.1,1.9,365,89.7 %,347193,0.01 %,6143493823.0,174.0
Martinique,1995,368732,0.57 %,2057,-1350,31.4,1.96,348,88.4 %,326044,0.01 %,5744212979.0,173.0
Martinique,1990,358449,1.07 %,3715,-47,28.3,2.14,338,86.3 %,309282,0.01 %,5327231061.0,171.0
Martinique,1985,339876,0.87 %,2884,-328,26.0,2.14,321,83.8 %,284886,0.01 %,4870921740.0,171.0
Martinique,1980,325454,-0.15 %,-477,-4136,23.5,2.65,307,79.6 %,259100,0.01 %,4458003514.0,168.0
Martinique,1975,327838,0.17 %,565,-5416,19.0,4.08,309,71.2 %,233419,0.01 %,4079480606.0,165.0
Martinique,1970,325011,0.88 %,2777,-4616,19.1,5.0,307,61.0 %,198316,0.01 %,3700437046.0,162.0
Martinique,1965,311127,2.01 %,5901,-1639,17.9,5.45,294,50.0 %,155417,0.01 %,3339583597.0,162.0
Martinique,1960,281622,2.77 %,7189,7,19.2,5.71,266,40.1 %,112900,0.01 %,3034949748.0,162.0
Martinique,1955,245675,2.05 %,4735,-1601,19.9,5.71,232,33.6 %,82620,0.01 %,2773019936.0,162.0
Mauritania,2020,4649658,2.74 %,123962,5000,20.1,4.59,5,56.9 %,2646714,0.06 %,7794798739.0,127.0
Mauritania,2019,4525696,2.78 %,122383,5000,19.7,4.82,4,56.1 %,2540632,0.06 %,7713468100.0,127.0
Mauritania,2018,4403313,2.82 %,120743,5000,19.7,4.82,4,55.3 %,2436744,0.06 %,7631091040.0,127.0
Mauritania,2017,4282570,2.86 %,119037,5000,19.7,4.82,4,54.5 %,2334906,0.06 %,7547858925.0,127.0
Mauritania,2016,4163533,2.90 %,117232,5000,19.7,4.82,4,53.7 %,2234912,0.06 %,7464022049.0,128.0
Mauritania,2015,4046301,2.98 %,110421,5000,19.6,4.88,4,52.8 %,2136699,0.05 %,7379797139.0,129.0
Mauritania,2010,3494195,2.93 %,94000,2000,19.1,5.07,3,48.1 %,1681621,0.05 %,6956823603.0,132.0
Mauritania,2005,3024194,2.83 %,78795,-2001,18.5,5.3,3,43.6 %,1318368,0.05 %,6541907027.0,135.0
Mauritania,2000,2630219,2.60 %,63318,-8801,17.9,5.52,3,39.2 %,1032034,0.04 %,6143493823.0,137.0
Mauritania,1995,2313630,2.61 %,55857,-8924,17.6,5.72,2,38.9 %,900703,0.04 %,5744212979.0,137.0
